county,county_id,registered_voters,turnout_in_person,turnout_mail,turnout_total,roster_in_person,roster_mail,roster_total,gap_in_person,gap_mail,gap_total,gap_pct
ANDERSON,1,30786,2390,99,2489,2390,28,2418,0,71,71,0.028525512253917237
ANDREWS,2,10702,395,11,406,395,4,399,0,7,7,0.017241379310344827
ANGELINA,3,55664,3149,245,3394,3149,51,3200,0,194,194,0.057159693576900414
ARANSAS,4,19525,1454,145,1599,1454,13,1467,0,132,132,0.0825515947467167
ARCHER,5,7024,396,37,433,396,7,403,0,30,30,0.06928406466512702
ARMSTRONG,6,1438,112,13,125,112,5,117,0,8,8,0.064
ATASCOSA,7,32329,1320,46,1366,1320,44,1364,0,2,2,0.0014641288433382138
AUSTIN,8,22456,1328,155,1483,1328,43,1371,0,112,112,0.07552258934592043
BAILEY,9,3206,138,26,164,138,10,148,0,16,16,0.0975609756097561
BANDERA,10,19223,2405,153,2558,2405,34,2439,0,119,119,0.04652071931196247
BASTROP,11,63196,3169,218,3387,3169,26,3195,0,192,192,0.0566873339238264
BAYLOR,12,2399,69,13,82,69,4,73,0,9,9,0.10975609756097561
BEE,13,15565,865,75,940,865,11,876,0,64,64,0.06808510638297872
BELL,14,237800,8536,648,9184,8536,80,8616,0,568,568,0.06184668989547038
BEXAR,15,1302585,40892,3727,44619,40892,543,41435,0,3184,3184,0.07135973464219279
BLANCO,16,11109,1332,58,1390,1332,8,1340,0,50,50,0.03597122302158273
BORDEN,17,466,52,8,60,52,2,54,0,6,6,0.1
BOSQUE,18,13544,598,62,660,598,21,619,0,41,41,0.06212121212121212
BOWIE,19,60726,2416,272,2688,2416,33,2449,0,239,239,0.08891369047619048
BRAZORIA,20,256322,13268,802,14070,13088,184,13272,180,618,798,0.056716417910447764
BRAZOS,21,139694,7862,453,8315,7862,60,7922,0,393,393,0.047263980757666864
BREWSTER,22,7042,359,24,383,359,5,364,0,19,19,0.04960835509138381
BRISCOE,23,994,56,17,73,56,4,60,0,13,13,0.1780821917808219
BROOKS,24,4738,28,0,28,28,0,28,0,0,0,0.0
BROWN,25,25563,2400,211,2611,2400,92,2492,0,119,119,0.045576407506702415
BURLESON,26,14028,849,85,934,590,9,599,259,76,335,0.35867237687366166
BURNET,27,39936,597,270,867,597,10,607,0,260,260,0.29988465974625145
CALDWELL,28,27463,1023,68,1091,1022,24,1046,1,44,45,0.04124656278643447
CALHOUN,29,12908,871,42,913,871,9,880,0,33,33,0.03614457831325301
CALLAHAN,30,10409,378,48,426,378,9,387,0,39,39,0.09154929577464789
CAMERON,31,238910,4024,304,4328,4024,287,4311,0,17,17,0.003927911275415897
CAMP,32,8337,62,49,111,61,12,73,1,37,38,0.34234234234234234
CARSON,33,4217,178,13,191,178,4,182,0,9,9,0.04712041884816754
CASS,34,21649,1316,123,1439,1315,9,1324,1,114,115,0.07991660875608061
CASTRO,35,3506,233,15,248,233,15,248,0,0,0,0.0
CHAMBERS,36,38288,2223,14,2237,2223,0,2223,0,14,14,0.006258381761287439
CHEROKEE,37,32319,1726,113,1839,1727,25,1752,-1,88,87,0.04730831973898858
CHILDRESS,38,3457,101,0,101,101,0,101,0,0,0,0.0
CLAY,39,8237,303,19,322,303,7,310,0,12,12,0.037267080745341616
COCHRAN,40,1486,21,24,45,21,8,29,0,16,16,0.35555555555555557
COKE,41,2508,93,36,129,93,9,102,0,27,27,0.20930232558139536
COLEMAN,42,6105,755,52,807,755,14,769,0,38,38,0.04708798017348203
COLLIN,43,751744,42686,1972,44658,42665,616,43281,21,1356,1377,0.03083434099153567
COLLINGSWORTH,44,1942,24,19,43,24,4,28,0,15,15,0.3488372093023256
COLORADO,45,14572,1223,71,1294,1223,32,1255,0,39,39,0.030139103554868624
COMAL,46,148291,9908,1037,10945,9908,1037,10945,0,0,0,0.0
COMANCHE,47,10230,906,88,994,906,88,994,0,0,0,0.0
CONCHO,48,1731,64,29,93,64,6,70,0,23,23,0.24731182795698925
COOKE,49,30630,1588,122,1710,1588,24,1612,0,98,98,0.05730994152046784
CORYELL,50,46228,2744,173,2917,2744,18,2762,0,155,155,0.053136784367500856
COTTLE,51,971,57,6,63,57,1,58,0,5,5,0.07936507936507936
CRANE,52,2759,429,15,444,429,6,435,0,9,9,0.02027027027027027
CROCKETT,53,2250,83,9,92,83,9,92,0,0,0,0.0
CROSBY,54,3605,208,42,250,208,15,223,0,27,27,0.108
CULBERSON,55,1717,9,0,9,9,0,9,0,0,0,0.0
DALLAM,56,2800,73,29,102,55,29,84,18,0,18,0.17647058823529413
DALLAS,57,1456854,43548,2426,45974,42809,383,43192,739,2043,2782,0.0605124635663636
DAWSON,58,6443,291,29,320,291,28,319,0,1,1,0.003125
DEAF SMITH,59,8771,255,52,307,255,18,273,0,34,34,0.11074918566775244
DELTA,60,4089,6,36,42,6,6,12,0,30,30,0.7142857142857143
DENTON,61,654728,38688,1691,40379,38659,302,38961,29,1389,1418,0.0351172639243171
DEWITT,62,11573,778,75,853,777,26,803,1,49,50,0.05861664712778429
DICKENS,63,1361,69,9,78,69,0,69,0,9,9,0.11538461538461539
DIMMIT,64,6594,72,1,73,72,0,72,0,1,1,0.0136986301369863
DONLEY,65,2431,82,9,91,82,7,89,0,2,2,0.02197802197802198
DUVAL,66,7769,21,4,25,21,4,25,0,0,0,0.0
EASTLAND,67,12536,635,133,768,635,23,658,0,110,110,0.14322916666666666
ECTOR,68,85455,2442,0,2442,2442,0,2442,0,0,0,0.0
EDWARDS,69,1465,159,6,165,159,5,164,0,1,1,0.006060606060606061
EL PASO,71,523121,6787,425,7212,6787,124,6911,0,301,301,0.041735995562950635
ELLIS,70,152780,8015,420,8435,8011,388,8399,4,32,36,0.004267931238885595
ERATH,72,26374,1585,145,1730,1585,143,1728,0,2,2,0.0011560693641618498
FALLS,73,10663,10,41,51,10,10,20,0,31,31,0.6078431372549019
FANNIN,74,24891,2183,122,2305,2183,34,2217,0,88,88,0.03817787418655098
FAYETTE,75,18210,2279,180,2459,2279,175,2454,0,5,5,0.0020333468889792597
FISHER,76,2733,142,27,169,143,3,146,-1,24,23,0.13609467455621302
FLOYD,77,3583,74,0,74,74,0,74,0,0,0,0.0
FOARD,78,788,44,2,46,44,1,45,0,1,1,0.021739130434782608
FORT BEND,79,532621,17093,985,18078,17093,222,17315,0,763,763,0.04220599623852196
