election_id,report_date,county,county_id,registered_voters,in_person_votes_on_date,total_in_person_votes,total_mail_votes,roster_available,source
58315,2026-05-26,ANDERSON,1,30786,0,2390,123,true,civix
58315,2026-05-26,ANDREWS,2,10702,0,395,15,true,civix
58315,2026-05-26,ANGELINA,3,55664,1,3150,260,true,civix
58315,2026-05-26,ARANSAS,4,19525,0,1463,162,true,civix
58315,2026-05-26,ARCHER,5,7024,0,396,40,true,civix
58315,2026-05-26,ARMSTRONG,6,1438,0,112,13,true,civix
58315,2026-05-26,ATASCOSA,7,32329,0,1320,59,true,civix
58315,2026-05-26,AUSTIN,8,22456,0,1349,175,true,civix
58315,2026-05-26,BAILEY,9,3206,0,138,29,true,civix
58315,2026-05-26,BANDERA,10,19223,0,2405,159,true,civix
58315,2026-05-26,BASTROP,11,63196,0,3169,234,true,civix
58315,2026-05-26,BAYLOR,12,2399,0,141,13,true,civix
58315,2026-05-26,BEE,13,15565,0,865,80,true,civix
58315,2026-05-26,BELL,14,237800,0,8536,648,true,civix
58315,2026-05-26,BEXAR,15,1302585,0,40820,3971,true,civix
58315,2026-05-26,BLANCO,16,11109,0,1332,58,true,civix
58315,2026-05-26,BORDEN,17,466,0,52,8,true,civix
58315,2026-05-26,BOSQUE,18,13544,0,599,66,true,civix
58315,2026-05-26,BOWIE,19,60726,0,2416,284,true,civix
58315,2026-05-26,BRAZORIA,20,256322,0,13088,864,true,civix
58315,2026-05-26,BRAZOS,21,139694,0,7849,487,true,civix
58315,2026-05-26,BREWSTER,22,7042,0,359,25,true,civix
58315,2026-05-26,BRISCOE,23,994,0,56,18,true,civix
58315,2026-05-26,BROOKS,24,4738,0,28,0,true,civix
58315,2026-05-26,BROWN,25,25563,0,2400,231,true,civix
58315,2026-05-26,BURLESON,26,14028,0,849,89,true,civix
58315,2026-05-26,BURNET,27,39936,0,597,270,true,civix
58315,2026-05-26,CALDWELL,28,27463,0,1031,73,true,civix
58315,2026-05-26,CALHOUN,29,12908,0,871,47,true,civix
58315,2026-05-26,CALLAHAN,30,10409,0,378,49,true,civix
58315,2026-05-26,CAMERON,31,238910,0,4024,320,true,civix
58315,2026-05-26,CAMP,32,8337,0,61,53,true,civix
58315,2026-05-26,CARSON,33,4217,0,178,15,true,civix
58315,2026-05-26,CASS,34,21649,0,1317,135,true,civix
58315,2026-05-26,CASTRO,35,3506,0,233,15,true,civix
58315,2026-05-26,CHAMBERS,36,38288,0,2223,14,true,civix
58315,2026-05-26,CHEROKEE,37,32319,0,1726,138,true,civix
58315,2026-05-26,CHILDRESS,38,3457,4,137,0,true,civix
58315,2026-05-26,CLAY,39,8237,0,302,20,true,civix
58315,2026-05-26,COCHRAN,40,1486,0,21,24,true,civix
58315,2026-05-26,COKE,41,2508,0,145,44,true,civix
58315,2026-05-26,COLEMAN,42,6105,0,755,58,true,civix
58315,2026-05-26,COLLIN,43,751744,0,42683,1972,true,civix
58315,2026-05-26,COLLINGSWORTH,44,1942,0,29,21,true,civix
58315,2026-05-26,COLORADO,45,14572,0,1230,71,true,civix
58315,2026-05-26,COMAL,46,148291,0,9930,1042,true,civix
58315,2026-05-26,COMANCHE,47,10230,0,906,88,true,civix
58315,2026-05-26,CONCHO,48,1731,0,102,32,true,civix
58315,2026-05-26,COOKE,49,30630,0,1590,126,true,civix
58315,2026-05-26,CORYELL,50,46228,0,2744,174,true,civix
58315,2026-05-26,COTTLE,51,971,0,89,7,true,civix
58315,2026-05-26,CRANE,52,2759,0,429,20,true,civix
58315,2026-05-26,CROCKETT,53,2250,0,109,11,true,civix
58315,2026-05-26,CROSBY,54,3605,0,208,45,true,civix
58315,2026-05-26,CULBERSON,55,1717,0,9,0,true,civix
58315,2026-05-26,DALLAM,56,2800,0,73,31,true,civix
58315,2026-05-26,DALLAS,57,1456854,0,42774,2431,true,civix
58315,2026-05-26,DAWSON,58,6443,0,291,32,true,civix
58315,2026-05-26,DEAF SMITH,59,8771,0,255,57,true,civix
58315,2026-05-26,DELTA,60,4089,0,6,40,true,civix
58315,2026-05-26,DENTON,61,654728,0,38659,1691,true,civix
58315,2026-05-26,DEWITT,62,11573,0,777,86,true,civix
58315,2026-05-26,DICKENS,63,1361,0,69,13,true,civix
58315,2026-05-26,DIMMIT,64,6594,0,72,1,true,civix
58315,2026-05-26,DONLEY,65,2431,4,144,15,true,civix
58315,2026-05-26,DUVAL,66,7769,0,37,6,true,civix
58315,2026-05-26,EASTLAND,67,12536,0,635,145,true,civix
58315,2026-05-26,ECTOR,68,85455,0,2442,0,true,civix
58315,2026-05-26,EDWARDS,69,1465,0,159,6,true,civix
58315,2026-05-26,ELLIS,70,152780,0,8011,420,true,civix
58315,2026-05-26,EL PASO,71,523121,0,6787,425,true,civix
58315,2026-05-26,ERATH,72,26374,0,1587,158,true,civix
58315,2026-05-26,FALLS,73,10663,0,10,45,true,civix
58315,2026-05-26,FANNIN,74,24891,0,2183,128,true,civix
58315,2026-05-26,FAYETTE,75,18210,0,2279,194,true,civix
58315,2026-05-26,FISHER,76,2733,0,142,27,true,civix
58315,2026-05-26,FLOYD,77,3583,0,122,1,true,civix
58315,2026-05-26,FOARD,78,788,0,44,2,true,civix
58315,2026-05-26,FORT BEND,79,532621,0,17093,985,true,civix
58315,2026-05-26,FRANKLIN,80,7706,0,691,51,true,civix
58315,2026-05-26,FREESTONE,81,13410,233,1129,48,true,civix
58315,2026-05-26,FRIO,82,9616,0,107,0,true,civix
58315,2026-05-26,GAINES,83,10683,0,437,0,true,civix
58315,2026-05-26,GALVESTON,84,246685,0,13631,819,true,civix
58315,2026-05-26,GARZA,85,2528,0,145,22,true,civix
58315,2026-05-26,GILLESPIE,86,22041,0,2467,199,true,civix
58315,2026-05-26,GLASSCOCK,87,843,0,119,10,true,civix
58315,2026-05-26,GOLIAD,88,5697,0,906,45,true,civix
58315,2026-05-26,GONZALES,89,13234,0,870,76,true,civix
58315,2026-05-26,GRAY,90,12162,3,714,142,true,civix
58315,2026-05-26,GRAYSON,91,100098,0,5538,357,true,civix
58315,2026-05-26,GREGG,92,73799,0,3906,492,true,civix
58315,2026-05-26,GRIMES,93,21666,0,1516,124,true,civix
58315,2026-05-26,GUADALUPE,94,129704,0,6774,477,true,civix
58315,2026-05-26,HALE,95,18133,0,791,75,true,civix
58315,2026-05-26,HALL,96,1838,0,61,14,true,civix
58315,2026-05-26,HAMILTON,97,6213,280,760,35,true,civix
58315,2026-05-26,HANSFORD,98,2960,0,95,3,true,civix
