election_id,report_date,county,county_id,registered_voters,in_person_votes_on_date,total_in_person_votes,total_mail_votes,roster_available,source
58315,2026-05-20,ANDERSON,1,30786,507,1327,95,true,civix
58315,2026-05-20,ANDREWS,2,10702,69,201,11,true,civix
58315,2026-05-20,ANGELINA,3,55664,659,1795,230,true,civix
58315,2026-05-20,ARANSAS,4,19525,283,798,137,true,civix
58315,2026-05-20,ARCHER,5,7024,70,190,34,true,civix
58315,2026-05-20,ARMSTRONG,6,1438,21,53,13,true,civix
58315,2026-05-20,ATASCOSA,7,32329,295,709,2,true,civix
58315,2026-05-20,AUSTIN,8,22456,280,734,140,true,civix
58315,2026-05-20,BAILEY,9,3206,35,72,24,true,civix
58315,2026-05-20,BANDERA,10,19223,533,1343,132,true,civix
58315,2026-05-20,BASTROP,11,63196,633,1658,199,true,civix
58315,2026-05-20,BAYLOR,12,2399,24,69,11,true,civix
58315,2026-05-20,BEE,13,15565,178,500,66,true,civix
58315,2026-05-20,BELL,14,237800,1686,4579,635,true,civix
58315,2026-05-20,BEXAR,15,1302585,7931,21962,3457,true,civix
58315,2026-05-20,BLANCO,16,11109,271,721,58,true,civix
58315,2026-05-20,BORDEN,17,466,12,31,8,true,civix
58315,2026-05-20,BOSQUE,18,13544,114,310,51,true,civix
58315,2026-05-20,BOWIE,19,60726,557,1266,263,true,civix
58315,2026-05-20,BRAZORIA,20,256322,2212,7174,623,true,civix
58315,2026-05-20,BRAZOS,21,139694,1577,4499,440,true,civix
58315,2026-05-20,BREWSTER,22,7042,63,214,22,true,civix
58315,2026-05-20,BRISCOE,23,994,12,27,16,true,civix
58315,2026-05-20,BROOKS,24,4738,3,10,0,true,civix
58315,2026-05-20,BROWN,25,25563,500,1343,183,true,civix
58315,2026-05-20,BURLESON,26,14028,157,417,82,true,civix
58315,2026-05-20,BURNET,27,39936,0,597,270,true,civix
58315,2026-05-20,CALDWELL,28,27463,181,543,59,true,civix
58315,2026-05-20,CALHOUN,29,12908,162,503,38,true,civix
58315,2026-05-20,CALLAHAN,30,10409,68,178,46,true,civix
58315,2026-05-20,CAMERON,31,238910,780,2210,271,true,civix
58315,2026-05-20,CAMP,32,8337,30,40,45,true,civix
58315,2026-05-20,CARSON,33,4217,30,101,10,true,civix
58315,2026-05-20,CASS,34,21649,295,740,118,true,civix
58315,2026-05-20,CASTRO,35,3506,47,139,8,true,civix
58315,2026-05-20,CHAMBERS,36,38288,406,1230,14,true,civix
58315,2026-05-20,CHEROKEE,37,32319,342,942,101,true,civix
58315,2026-05-20,CHILDRESS,38,3457,34,62,0,true,civix
58315,2026-05-20,CLAY,39,8237,65,154,17,true,civix
58315,2026-05-20,COCHRAN,40,1486,0,21,20,true,civix
58315,2026-05-20,COKE,41,2508,32,81,35,true,civix
58315,2026-05-20,COLEMAN,42,6105,153,441,43,true,civix
58315,2026-05-20,COLLIN,43,751744,9228,22427,1779,true,civix
58315,2026-05-20,COLLINGSWORTH,44,1942,0,0,19,true,civix
58315,2026-05-20,COLORADO,45,14572,256,690,53,true,civix
58315,2026-05-20,COMAL,46,148291,2543,4358,805,true,civix
58315,2026-05-20,COMANCHE,47,10230,146,509,79,true,civix
58315,2026-05-20,CONCHO,48,1731,22,47,29,true,civix
58315,2026-05-20,COOKE,49,30630,378,846,110,true,civix
58315,2026-05-20,CORYELL,50,46228,480,1643,168,true,civix
58315,2026-05-20,COTTLE,51,971,15,39,5,true,civix
58315,2026-05-20,CRANE,52,2759,56,222,13,true,civix
58315,2026-05-20,CROCKETT,53,2250,22,65,9,true,civix
58315,2026-05-20,CROSBY,54,3605,36,112,39,true,civix
58315,2026-05-20,CULBERSON,55,1717,0,4,0,true,civix
58315,2026-05-20,DALLAM,56,2800,20,48,9,true,civix
58315,2026-05-20,DALLAS,57,1456854,9089,24185,2424,true,civix
58315,2026-05-20,DAWSON,58,6443,47,132,27,true,civix
58315,2026-05-20,DEAF SMITH,59,8771,48,124,48,true,civix
58315,2026-05-20,DELTA,60,4089,0,3,34,true,civix
58315,2026-05-20,DENTON,61,654728,8574,20970,1544,true,civix
58315,2026-05-20,DEWITT,62,11573,153,424,67,true,civix
58315,2026-05-20,DICKENS,63,1361,16,31,9,true,civix
58315,2026-05-20,DIMMIT,64,6594,8,39,1,true,civix
58315,2026-05-20,DONLEY,65,2431,15,55,6,true,civix
58315,2026-05-20,DUVAL,66,7769,9,18,4,true,civix
58315,2026-05-20,EASTLAND,67,12536,140,306,122,true,civix
58315,2026-05-20,ECTOR,68,85455,444,1209,0,true,civix
58315,2026-05-20,EDWARDS,69,1465,37,80,3,true,civix
58315,2026-05-20,ELLIS,70,152780,1675,4424,174,true,civix
58315,2026-05-20,EL PASO,71,523121,1367,3545,380,true,civix
58315,2026-05-20,ERATH,72,26374,309,884,135,true,civix
58315,2026-05-20,FALLS,73,10663,0,1,39,true,civix
58315,2026-05-20,FANNIN,74,24891,499,1212,89,true,civix
58315,2026-05-20,FAYETTE,75,18210,443,1320,6,true,civix
58315,2026-05-20,FISHER,76,2733,36,72,25,true,civix
58315,2026-05-20,FLOYD,77,3583,32,74,0,true,civix
58315,2026-05-20,FOARD,78,788,6,21,1,true,civix
58315,2026-05-20,FORT BEND,79,532621,4230,12524,926,true,civix
58315,2026-05-20,FRANKLIN,80,7706,129,377,46,true,civix
58315,2026-05-20,FREESTONE,81,13410,184,464,37,true,civix
58315,2026-05-20,FRIO,82,9616,17,55,0,true,civix
58315,2026-05-20,GAINES,83,10683,84,197,0,true,civix
58315,2026-05-20,GALVESTON,84,246685,2313,7399,737,true,civix
58315,2026-05-20,GARZA,85,2528,16,68,20,true,civix
58315,2026-05-20,GILLESPIE,86,22041,521,1381,187,true,civix
58315,2026-05-20,GLASSCOCK,87,843,17,55,9,true,civix
58315,2026-05-20,GOLIAD,88,5697,170,506,39,true,civix
58315,2026-05-20,GONZALES,89,13234,180,450,61,true,civix
58315,2026-05-20,GRAY,90,12162,148,383,106,true,civix
58315,2026-05-20,GRAYSON,91,100098,1384,2973,347,true,civix
58315,2026-05-20,GREGG,92,73799,794,2140,460,true,civix
58315,2026-05-20,GRIMES,93,21666,328,876,94,true,civix
58315,2026-05-20,GUADALUPE,94,129704,1244,3595,338,true,civix
58315,2026-05-20,HALE,95,18133,144,383,57,true,civix
58315,2026-05-20,HALL,96,1838,10,24,13,true,civix
58315,2026-05-20,HAMILTON,97,6213,96,262,33,true,civix
58315,2026-05-20,HANSFORD,98,2960,21,50,0,true,civix
58315,2026-05-20,HARDEMAN,99,2214,0,1,0,true,civix
58315,2026-05-20,HARDIN,100,43610,259,719,5,true,civix
58315,2026-05-20,HARRIS,101,2714171,17134,49070,6453,true,civix
58315,2026-05-20,HARRISON,102,47260,580,1489,135,true,civix
58315,2026-05-20,HARTLEY,103,2786,44,98,23,true,civix
58315,2026-05-20,HASKELL,104,3400,33,60,20,true,civix
58315,2026-05-20,HAYS,105,194931,1547,4355,355,true,civix
58315,2026-05-20,HEMPHILL,106,2273,20,98,28,true,civix
